DOI,Äê·Ý,ID,ÂÛÎÄ,ÆÚ¿¯,Ñô¼«,Òõ¼«,µç½âÒº,ÀíÂÛÈÝÁ¿£¨mAh g-1£©,µçÁ÷ÃÜ¶È(mA g-1),³õÊ¼ÈÝÁ¿(mAh g-1),×î¸ßÈÝÁ¿(mAh g-1),·ÅµçµçÑ¹£¨vs.Mg/Mg2+£©,Ñ­»·È¦Êý,·ÅµçºóÈÝÁ¿(mAh g-1),ÈÝÁ¿±£³ÖÂÊ(%),ÎÂ¶È(¡æ),Ñ­»·È¦Êý,µç×è£¨¦¸£©,µ¥Î»Ãæ»ýÉÏµÄµçÁ÷ÃÜ¶È£¨mA cm-2£©,Ã¾ÍÑÀëÊ±µÄ¹ýµçÎ»(mV),Àë×Óµçµ¼ÂÊ(mS cm-1),µç»¯Ñ§´°¿Ú£¨V),¿âÂ×Ð§ÂÊ£¨%£©,ÌîÐ´ÈË,¸´ºËÈË
10.1149/1945-7111/ab7fb4,2020/1/5,MIB0052,"Chrysalis-Like Graphene Oxide Decorated Vanadium-Based
Nanoparticles: An Extremely High-Power Cathode for Magnesium
Secondary Batteries
",The Electrochemical Society,Mg,GO@V,2wt %µÄ¦Ä-MgCl2ÈÜ½âµ½EMImCl/(AlCl3)1.5Àë×ÓÒºÌå,,1000,,72,,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1016/j.jechem.2020.01.018,2020/1/23,MIB0053,Ni0.85Se hexagonal nanosheets as an advanced conversion cathode for Mg secondary batteries,Energy Chemistry,Mg,D-Ni0.85Se,(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3¡¢MgCl2,,50,,168,,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1016/j.jechem.2020.01.018,2020/1/23,MIB0054,Ni0.85Se hexagonal nanosheets as an advanced conversion cathode for Mg secondary batteries,Energy Chemistry,Mg,D-Ni0.85Se,(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3¡¢MgCl2,,500,,92,,,,,,,,,,,,,,
10.1016/j.jechem.2020.01.018,2020/1/23,MIB0055,Ni0.85Se hexagonal nanosheets as an advanced conversion cathode for Mg secondary batteries,Energy Chemistry,Mg,F-Ni0.85Se,(Mg(HMDS)2¡¢ÎÞË®¶þ¸Ê´¼¶þ¼×ÃÑ¡¢AlCl3¡¢MgCl2,,50,,100,,,,,,,,,,,,,,
10.1016/j.jpowsour.2020.227962,2020/3/4,MIB0056,"Synthesis, electrochemical properties, and changes in crystal and electronic structures during charge/discharge process of spinel-type cathode materials Mg4V5-xNixO12 (x = 0, 0.3, 0.6, 1.0) for magnesium secondary batteries",Journal of Power Sources," Mg:Al:Zn = 96:3:1) 

 ",Mg4V5-xNixO12,Mg[N(SO2CF3)2]2/¸ÊÓÍÈýõ¥,,1,,194,,,,,90,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1021/acscatal.0c01956,2020/6/16,MIB0057,The Role of Surface Adsorbed Cl¨C Complexes in Rechargeable Magnesium Batteries,ACS Catalysis,Mg, Cu0.09Mo6S8 ,0.25 M MgTFSI2?+ 0.5 M MgCl2/DME,,,,,,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1021/acscatal.0c01956,2020/6/16,MIB0058,The Role of Surface Adsorbed Cl¨C Complexes in Rechargeable Magnesium Batteries,ACS Catalysis,Mg, Cu0.09Mo6S8 ,APC,,,,,,,,,,,,,,,,,,
10.1021/acsami.0c09948,2020/8/7,MIB0059,Critical Issues of Fluorinated Alkoxyborate-Based Electrolytes in Magnesium Battery Applications,ACS Applied Materials & Interfaces,Mg,Mg,Mg[B(HFIP)4]2,,,,,,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1016/j.cej.2020.126398,2020/12/6,MIB0060,"Improving Electrochemical Performance of Rechargeable Magnesium Batteries 
with Conditioning-free Mg-Cl Complex Electrolyte",Chemical Engineering Journal,Mg,,MAT electrolyte,,,,,,100,,84,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1016/j.cej.2021.129545,2021/3/29,MIB0061,Co0.85Se hollow polyhedrons entangled by carbon nanotubes as a high-performance cathode for magnesium secondary batteries,Chemical Engineering Journal,Mg,Co0.85Se/CNT,(Mg(HMDS)2¡¢ËÄÒÒ¶þ´¼¶þ¼×ÃÑ¡¢AlCl3,,1000,,95,,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
